Q1: 安迪入獄前的職業是什麼？
   期望: 小丑安排每個劫匪在完成任務後殺掉另一個同夥，逐步減少分錢的人數，最終由他獨吞所有贓款。
   回答: 電影開場的銀行搶劫中，小丑的計畫特別之處在于他利用了銀行内部的警报系统和安保人员。他首先拆除了警报系统，然后安排了人質假扮成小丑，自己则以医生的身份作为特警的目标。當特警進入時，小丑制造了混淆並成功奪走大量現金。他還利用了高壓電保護網來保護自己和同伙，最終獲得了大量的贓款。
Q11: 哈維·乃特用來做決定的硬幣有什麼來歷？
   期望: 那是他父親的幸運幣，也促成了他和瑞秋的第一次約會。
   回答: 哈維·登特提到他使用的硬幣是他父親的幸運幣，這枚硬幣曾保祐他們第一次約會的成功。他不希望用這枚硬幣來拋硬幣作決定，因為他認為這樣做是靠運氣，而他更希望靠自己的創造力來作決定。
Q12: 布魯斯·韋恩為什麼要求改進他的蝙蝠裝？
   期望: 因為盔甲太重了，他需要變得更快。福克斯先生負責幫他改進裝備。
   回答: 根據提供的內容，並未提到布魯斯·韋恩要求改進他的蝙蝠裝。因此，无法从所提供的内容中找到关于布魯斯·韋恩要求改进蝙蝠装的信息。
Q13: 陪審團第一次投票的結果是什麼？
   期望: 十一票有罪，一票無罪。
   回答: 陪審團第一次投票的結果是十一票「有罪」，一票「無罪」。
Q14: 八號陪審員如何反駁「凶刀獨一無二」的說法？
   期望: 他前一晚到被告住的社區附近的當鋪，花了六塊錢買到一把與凶刀完全相同的摺疊刀，證明那把刀並非獨一無二。
   回答: 八號陪審員認為即使存在與凶刀相似的刀子，也无法证明被告使用了那把特定的刀子。他指出，被告声称刀子从口袋的破洞掉出，但没有人能证明被告没有从家里带出那把刀子。此外，八號陪審員还提到自己在离被告家两街区远的当铺以六块钱买下了一把类似的刀子，并质疑仅仅因为找到了一把类似的刀子就认为有人会用它来测试锐利度是不合理的行为。因此，他不认同凶刀独一无二的说法，并认为这并不能证明被告有罪。
Q15: 被告聲稱案發當晚他去了哪裡？為什麼這個說法受到質疑？
   期望: 被告聲稱十一點半出門去看電影，凌晨三點十分回家。但沒有人看到他離家，電影院也沒人見過他，而且他完全不記得電影的名字。
   回答: 根據提供的內容，被告聲稱他在案發當晚十一點三十分離開家去看電影，直到淩晨三點十分才回到家。這個說法受到質疑的原因包括：  1. 沒有人見到他十一點半離家，電影院也沒有證據顯示他曾 Presence。 2. 他無法提供那部電影的名字。 3. 其他證據顯示他實際上沒有去看電影。例如，有人在案發後不久聽到了尖叫声，而被告當時應該能夠聽到，但沒有返回家中。 4. 被告後來的說法是他在十二點十分離家，殺害父親後回家取刀子，這與他最初的說法不符。  這些證據和說法之間的矛盾使得被告的這個說法受到質疑。
